V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
62473	9029	53952	45770	43731,1	2512	113	29403	80609	63724	71,19	158	158	158	1
98373	56367	-1	22473	68861,1	563	139	114136	129245	33859	87,57	190	155	119	1
787	93203	109460	105912	550,9	3258	127	11412	300882	326	80,01	145	120	72	1
4590	76386	23087	46211	3213	2276	140	80428	71589	533	88,2	154	137	109	1
84631	30822	25158	12022	59241,7	2167	143	43401	22692	88707	90,09	193	193	193	1
169281	33454	56726	24891	118496,7	1588	133	25615	92582	167743	83,79	210	169	138	1
52783	22091	43572	43604	36948,1	1750	120	36052		38135	75,6	164	147	110	1
1307	19877	113066	51116	914,9	2734	121	11814	175732	554	76,23	129	110	70	1
37199	2042	28813	36207	26039,3	1939	104	3499	66845	35856	65,52	155	139	112	1
19215	1999	14998	146361	13450,5	352	113	83499	165535	946	71,19	126	123	80	1
106204	13167	23978	52909	74342,8	3262	107	7023	90285	102212	67,41	182	161	129	1
123495	6262	30771	44554	86446,5	4298	106	4932	82166	122282	66,78	192	167	145	1
92196	10974	7937	36261	64537,2	3382	107	37928	49399	63423	67,41	189	172	134	1
96468	18985	27446	13964	67527,6	2887	134	8167	55747	95836	84,42	201	200	179	1
84388	6174	29870	27385	59071,6	2933	113	4316	62511	83923	71,19	189	190	157	1
90816	10583	26682	25004	63571,2	6215		4728	64457	90115	52	191	192	161	1
154513	8922	65470	22686	108159,1	3029	122	6698	94390	153532	76,86	240	199	166	1
40	86233	51233	45202	30	13936	141	130943	65654	11	88,83	123	126	122	1
324605	30715	99688	18202	227223,5	2	134	55037	126297		84,42	205	199	136	1
29299	83695	13569	23892	20509,3	73	154	10036	42771	97721	97,02	123	186	170	1
999	67159	7298	72632	699,3	2440	128	36718	78274	35536	80,64	114	127	110	1
8	81081	5990	60249	8	3208	137	69438	66742	14348	86,31	129	127	122	1
30656	5463	66749	46358	21459,2	1302	112	4733	112955	32840	70,56	137	127	109	1
103	43868	43642	36547	72,1	10240	132	24461	109939	0	83,16	124	129	54	1
24795	13671	41928	60210	17356,5	9924	109	14288	106236	30004	68,67	107	128	96	1
2504	18886	63894	52278	1752,8	12966	117	10892	137812	1824	73,71	116	111	56	1
24610	58382	49801	4614	17227	129	153	4961	112944	19631	96,39	146	180	93	1
16252	66434	64011	3831	11376,4	2	153	7264	130011	13253	96,39	158	165	98	1
30572	81781	330723	274396	21400,4	68960	115	27599	739825	19008	72,45	99	121	58	1
22945	137843	277198	285418	16061,5	63028	119	117961	653484	14987	74,97	108	116	74	1
533485	133327	9999	52239	373439,5	57382	150	93757	115190	577485	94,5	192	195	191	1
206385	128372	106437	242887	144469,5	102351	118	135153	428703	222576	74,34	131	135	116	1
222277	131002	156629	193827	155593,9	82697	123	224041	304672	257719	77,49	136	142	130	1
178839	19894	7218	62868	125187,3	38381	106	7088	107009	193103	66,78	162	167	156	1
246524	42702	83065	65584	172566,8	42125	124	17567	195085	267348	78,12	172	169	148	1
238344	42934	62705	111844	166840,8	24173	114	21051	200552	258397	71,82	165	168	143	1
24600	178759	119429	61440	17220	95772	146	600	476998	2402	91,98	136	125	32	1
124465	13035		30569	87125,5	2	121	3246	105422	124492	76,23	187	192	163	1
158968	10738	21185	49546	111277,6	22883	106	18449	84005	160866	66,78	183	183	183	1
125251	8844	10498	20384	87675,7	13673	115	11437	39575	127638	72,45	196	196	196	1
10214	-2	26258	103417	7149,8	4775	98	10223	134208	13069	61,74	96	107	90	1
152826	7050	84309	11015	106978,2	2	128	5179	97507	152514	80,64	199	191	183	1
164458	4411	15247	61168	115120,6	56	94	5639	75044	164657	59,22	197	202	196	1
154198	4750	37206	47787	107938,6	239	106	3684	86418	154078	66,78	187	204	192	1
105145	6519	6831	26104	73601,5	9301	105	6135	43597	104168	66,15	196	202	189	1
585013	180000	65827	421789	409509,1	9778	147	557763		948705	92,61	239	167	157	1
79364	6511	42941	91314	55554,8	8970	99	2566	146885	79649	62,37	121	152	129	1
3365	14226	43842	73300	2355,5	89147	107	4626	217342	1912	67,41	65	83	43	1
1152	28865	64199	93870	806,4	34634	112	613	222107	0	70,56	113	95	44	1
4535	35029	86906	84815	3174,5	14335	117	18763	202980	3877	73,71	115	113	63	1
2424	2970	8556	20107	1696,8	90893	102	332	123044	1574	64,26	39	43	20	1
11023	16839	41299	42339	7716,1	5375	117	2871	110471	3533	73,71	127	126	59	1
155691	8778	26496	46300	108983,7	4595	107	442	86773	154645	67,41	188	202	148	1
52453	636	9374	44073	36717,1	989	89	625	54609	52291	56,07	157	165	126	1
26503	32865	24751	52906	18552,1	88595	120	39626	161789	24205	75,6	92	90	82	1
580	6832	24509	73410	406	103469	98	20681	185955	2164	61,74	49	68	55	1
8410	30737	45382	53451	5887	81840	121	13921	198367	7532	76,23	81	90	63	1
2683	6002	20104	77175	1878,1	13461	95	1302	115813	2310	59,85	72	94	58	1
69632	1343	10129	47231	48742,4	22193	90	1041	79712	69775	56,7	159	156	137	1
10616	47614	76916	81811	7431,2	66097	121	37444	237885	7725	76,23	89	106	80	1
25520	46917	45867	45367	17864	119383	130	7391	262168	13495	81,9	76	104	68	1
12631	47801	65379	43823	8841,7	113420	131	6953	270986	5115	82,53	72	101	64	1
24851	35826	39542	45099	17395,7	137736	126	8046	264220	10788	79,38	71	94	57	1
2310	19332		99666	1617	2866	115	6174	274799	2081	72,45	86	126	79	1
20866	20620	55200	164315	14606,2	22053	100	2290	268053	12711	63	86	113	54	1
37936	29518	45523	88958	26555,2	81119	111	4392	259469	19193	69,93	90	117	50	1
30176	19953	45343	161458	21123,2	26124	98	4373	257678	21003	61,74	86	114	70	1
50605	36487	39523	75358	35423,5	81081	117	15020	228301	39733	73,71	101	119	83	1
10	13546	77510	166539	10	7459	100	7120		13913	63	84	111	82	1
18574	28130	48603	168290	13001,8	19457	101	1737	272831	8486	63,63	77	114	56	1
26888	18980	70950	147380	18821,6	18856	102	1648	265006	16400	64,26	90	123	67	1
19184	15856	36983	175812	13428,8	35219	95	2100	268968	11986	59,85	76	105	45	1
18289	6355	15279	193963	12802,3	49168	86	1880	266377	14797	54,18	56	94	60	1
30255	19304	29382	142091	21178,5	62022	97	8748	249756	24550	61,11	77	103	67	1
22954	15041	54685	157699	16067,8	32675	98	4092	261300	17662	61,74	84	111	60	1
37164	39891	39487	56294	26014,8	110218	123	8649	252864	21541	77,49	81	111	74	1
20648	48918	69426	58676	14453,6	85386	127	14823	262054	6177	80,01	89	111	68	1
45213	38913	35209	56829	31649,1	106890	123	22786	231110	29158	77,49	96	107	74	1
24018	5645	24100	200377	16812,6	28914	87	2436	258984	21634	54,81	65	103	68	1
32244	36888	50843	112229	22570,8	50850	111	18983	238954	25117	69,93	96	116	76	1
569	14658	21897	7860	398,3	119066	137	7099	156206	745	86,31	39	47	44	1
22258	34462	38269	43012	15580,6	92259	126	16264	198685	15311	79,38	127	84	59	1
4614	51975	86468	76508	3229,8	49555	124	14046	253077	1997	78,12	123	100	59	1
445	7805	84702	27692	311,5	906	121	43755	77764	31	76,23	82	126	100	1
4450	57386	50762	62796	3115	50806	128	4755	221103	342	80,64	104	110	64	1
1474	18082	54661	50205	1031,8	98878	116	4467	218076	757	73,08	66	83	59	1
1116	15452	41971	51083	781,2	108458	113	961	216420	699	71,19	66	76	42	1
5368	12219	16287	40328	3757,6	46073	109	4339	113377	2559	68,67	85	78	43	1
468	40256	33641	19150	327,6	26335	141	1106	118736	8	88,83	89	128	66	1
5868	10161	7070	4389	4107,6	93637	143	4629	109725	6771	90,09	36	42	36	1
4561	34881	87122	84531	3192,7	14525	117	18805	203000	3815	73,71	115	113	63	1
270	5087	20699	9130	189	106764	124	2080	139704	166	78,12	25	35	25	1
2641	17258	19520	48859	1848,7	31997	111	2310	116728	1237	69,93	86	90	70	1
3245	20289	49757	121232	2271,5	29357	103	4812	216727	2341	64,89	89	94	75	1
10511	16121	9237	17216	7357,7	67615	128	17664	91368	11668	80,64	87	74	59	1
544	15760	70706	83703	380,8	59547	110	7881	222366	13	69,3	88	84	48	1
4153	23146	42784	55579	2907,1	101698	116	518	226511	331	73,08	77	73	33	1
236	64857	73227	87164	165,2	716	125	69199	156739	262	78,75	122	121	102	1
99771	32583	53655	25432	69839,7	13599	133	34744	112324	77972	83,79	182	162	126	1
15867	97399	88017	18705	11106,9	7952	149	2534	216135	9271	93,87	171	143	73	1
378	4968	58334	52721	264,6	5149	109	600	120766	184	68,67	95	110	62	1
65885	2462	19901	31501	46119,5	526	103	1269	53903	65103	64,89	189	175	138	1
149	12772	128169	74659	104,3	8711	115	97	224333	30	72,45	92	122	57	1
6519	31061	44927	13624	4563,3	24144	139	827	118925	523	87,57	134	118	63	1
4395	14931	13907	4302	3076,5	99740	146	1587	133577	2111	91,98	42	52	33	1
4896	6785	7811	14394	3427,2	16622	116	723	47053	2732	73,08	70	108	81	0
4128	2541	18593	25341	2889,6	35607	105	508	81615	4087	66,15	63	86	46	0
8781	999	30604	30041	6146,7	18125	106	562	79116	8872	66,78	88	109	70	0
7432	1406	23831	27660	5202,4	28221	105	356	80758	7436	66,15	75	101	54	0
90	150	4784	2895	63	1852	111	47	9545	8	69,93	70	107	46	0
17175	32109	62340	95573	12022,5	75857	113	25066	244684	13304	71,19	86	101	66	0
37034	33523	42877	71908	25923,8	97712	117	19143	233410	30501	73,71	87	109	72	0
36454	32958	44156	80096	25517,8	89390	115	13988	238435	30631	72,45	90	112	70	0
18540	20008	38225	179109	12978	27172	96	5213	266690	11151	60,48	78	106	59	0
23098	31192	50738	101843	16168,6	76183	110	18257	247512	17285	69,3	82	106	64	0
7729	54213	91449	72094	5410,3	57569	125	10887	269481	2686	78,75	91	117	72	0
23843	33721	39041	38358	16690,1	148091	127	3804	266396	12854	80,01	64	92	61	0
21167		42644	174838	14816,9	22776	97	4432	266070	12552	61,11	76	111	65	0
27336	41626	48443	72997	19135,2	92652	120	15949	252166	14939	75,6	85	108	69	0
34985	34856	45894	90891	24489,5	76428	113	12088	246705	24261	71,19	88	115	70	0
28075	22752	30294	162040	19652,5	39893	97	1985	266181	14888	61,11	77	111	62	0
18767	41638	73842	65837	13136,9	82970	123	8379	263034	11641	77,49	86	111	66	0
27262	33978	40385	63734	19083,4	117695	119	6599	261629	14826	74,97	79	100	55	0
13635	53448	61233	73708	9544,5	81030	124	3093	276837	3124	78,12	82	113	65	0
31562	26309	28297	90983	22093,4	105903	107	5671	258585	18798	67,41	74	101	64	0
3143	37545	129056	56053	2200,1	57257	125	3891	276965	2198	78,75	86	117	72	0
6626	62306	66044	44834	4638,2	103244	135	2816	278304	1934	85,05	74	106	67	0
8226	46302	81718	78835	5758,2	67973	122	11689	267113	4252	76,86	80	109	70	0
24589	34419	56301	89181	17212,3	78564	114	10885	255714	16455	71,82	86	108	68	0
19322	43892	50204	79755	13525,4	89881	119	7625	269648	5781	74,97	83	106	53	0
38064	32016	38799	80915	26644,8	93260	113	2983	266861	13210	71,19	81	111	62	0
17421	41219	56468	86505	12194,7	81441	117	2021	277876	3157	73,71	78	110	56	0
40319	38371	43624	73549	28223,3	87191	118	2052	267633	13369	74,34	88	117	62	0
21812	38165	46966	67107	15268,4	109004	120	4132	268706	10216	75,6	74	103	65	0
20940	55497	62021	80744	14658	63852	123	3083	273929	6042	77,49	86	122	71	0
45839	24163	28890	71155	32087,3	113007	111	3728	244498	34828	69,93	85	108	67	0
14845	48919	70570	95924	10391,5	52796	119	4218	274293	4543	74,97	91	117	54	0
16177	51843	58860	73020	11323,9	83154	124	2318	276892	3844	78,12	82	113	56	0
34890	50642	41681	60371	24423	95470	126	3461	274030	5563	79,38	87	118	65	0
10627	49000	75876	93162	7438,9	54389	119	2638	278093	2323	74,97	88	117	52	0
29797	29718	43262	109758	20857,9	70519	108	20138	240572	22344	68,04	89	107	71	0
25390	44223	55399	126878	17773	31164	111	13942	253828	15284	69,93	97	117	75	0
26461	39891	65075	138514	18522,7	13113	109	29002	235922	18130	68,67	102	119	81	0
17960	38657	41602	78185	12572	106650	117	13310	242150		73,71	79	97	63	0
20321	907	1526	661	14224,7	85	133	560	2784	20156	83,79	227	232	224	0
17726	1029	3226	1366	12408,2	153	127	733	5064	17703	80,01	211	218	206	0
19655	1103	2081	629	13758,5	32	136	851	3117	19532	85,68	226	229	220	0
14881	1423	1828	4880	10416,7	488	108	1665	6926	14909	68,04	186	196	184	0
21129	1339	744	265	14790,3	23	152	1211	1304	20985	95,76	235	237	233	0
21492	734	923	285	15044,4	66	141	367	1909	21224	88,83	235	238	230	0
18796	1532	2702	470	13157,2	2	141	960	3817	18723	88,83	216	226	216	0
20982	926	1470	121	14687,4	2	145	509	2131	20860	91,35	232	237	230	0
16662	856	2546	3221	11663,4	215	112	648	-1	16586	70,56	193	207	190	0
19451	817	1291	1920	13615,7	21	116	1053	3218	19229	73,08	220	224	217	0
22169	311	507	498	15518,3	15	122	334	1102	22064	76,86	238	240	237	0
19743	1437	2031	281	13820,1	8	145	712	3295	19493	91,35	224	232	221	0
21314	443	1124	579	14919,8	40	126	365	1859	21276	79,38	232	237	232	0
739	10052	13710	19704	517,3	6041	118	1669	47897	680	74,34	88	121	61	0
2418	5151	8552	19830	1692,6	14374	108	1921	37343	11061	68,04	77	87	91	0
5736	7147	16064	13879	4015,2	7682	120	3391		3703	75,6	105	128	66	0
5600	13967	13290	13161	3920	4307	130	81	50146	98	81,9	121	144	56	0
4889	5878	15659	21378	3422,3	2516	111	2057	43502	4761	69,93	103	128	75	0
